Course Code,Majors,Level,Prerequisites,Description,Status
OSE 4410,"EE, CpE",Undergraduate,None,"OSE 4410, and OSE 4520. • Honors in the Major students may use EEL 4970H as a technical elective.  CpE students have the option of using the CS honors version, but not both. • EGN 4941 internship course, for 3 credits, one time ONLY. • Students who need only one technical elective hour to complete their degree requirements and have a major grade point average AND a UCF grade point average of at least 3.00 at the time the student registers are allowed to enroll in one hour of independent study or independent directed research upon completion of the required agreement between the student and the faculty offering the independent study or independent research. Only Department of ECE faculty are permitted to supervise independent study or independent directed research hours which are to be accepted as technical electives.  There are some CS Department faculty acceptable for CpE students.  https://advising.cecs.ucf.edu/overrides/ • Courses that are from the College of Sciences or other UCF Colleges or departments are not accepted as technical electives. However, if a student has the desire to pursue additional coursework in an area such as mathematics or physics, a minor should be considered. • Credit awarded for military, commercial, or private training will not be accepted as technical elective hours. No technical elective credit is accepted for experiential learning o r  cooperative education. Electrical and Computer Engineering Technical Electives EE1: Power and Renewable Energy Track           EE2: Communications and Signal Processing Track EE3: RF and Microwaves Track CpE1: Digital VLSI Circuits Track Program Course",Eligible
CAI 4105,"EE, CpE",Undergraduate,EEL 3801C,"CAI 4105 3(3,0) Current Topics in Machine Learning I: PR: EEL 3801C with a grade of ""C"" (2.0) or better; COP 3503C with a grade of ""C"" (2.0) or better; STA 3032  or  EEL 3021.  Machine Learning and Applications. Perception Network, BP Network, Convolutional NN, Recurrent NN, Evolutionary Computation, and Reinforcement Learning.",Eligible
CAI 4214,CpE,Undergraduate,"EEL 3021, EEL 4810, MAS 3105","CAI 4214 3(3,0) Current Topics in Machine Learning II: PR: Take or concurrently EEL 3021, EEL 4810, MAS 3105.  Deep reinforcement learning integrates neural networks with decision-making algorithms to solve complex problems. Students will learn to develop theoretical understanding, implement algorithms, and apply DRL techniques to robotics, game playing, and autonomous systems through projects in this course. EE1",Need Prerequisites
EEE 4314,"EE, CpE",Undergraduate,EEE 3350,"EEE 4314 ECS-EECS 3(3,0) Device Electronics for Integrated Circuits: PR: EEE 3350. P.N. Junctions, Bipolar Transistor Analysis, Metal Semiconductor contacts, MOS Systems MOSFET Analysis and Limitations.",Need Prerequisites
EEE 4334,"EE, CpE",Undergraduate,None,"EEE 4334 - Computer-Aided Design of VLSI: PR: Grade of “C” (2.0) or better in both EEE 3307C and EEE 3342C. CMOS technology, circuit design principles, modern fabrication techniques, MOS transistors, logic design, physical layout, timing analysis, low-power design techniques. EEE4334 or EEE5336 not both",Eligible
EEE 4463,"EE, CpE",Undergraduate,EEE 3350,"EEE 4463 ECS-EECS 3(3,0) MEMS Devices and Applications: PR: EEE 3350 or C.I. Micro-Electro Mechanical Systems devices, microfabrication, sensors and actuators, bulk and surface micromachining, optical MEMS, instrumentation and applications.",Need Prerequisites
EEE 4701,"EE, CpE",Undergraduate,"EEL 3801C, EEL 4742C",EEE 4701 – Verification and Validation of Digital Systems PR: EEL 3801C or EEL 4742C.  Verification of digital hardware systems at the Register-Transfer Level focusing on Constrained Random Verification and the use of Universal Verification Methodology.  EEE4701 or EEE5703 not both,Need Prerequisites
EEL 3552C,CpE,Undergraduate,EEL 3123C,"EEL 3552C ECS-EECS 4(3,3) Signal Analysis and Analog Communication: PR: EEL 3123C with a grade of “C” (2.0) or better. Signals and signal space, Signals and signal space, Fourier series, Fourier Integral, transmission over linear systems, AM, FM, PM, sampling theorem and Nyquist rate. M&S fee $15.00 Electrical and Computer Engineering Technical Electives Program Course",Eligible
EEL 3657,"EE, CpE",Undergraduate,EEL 3123C,"EEL 3657 ECS-EECS 3(3,0) Linear Control Systems: PR: EEL 3123C with a grade of “C” (2.0) or better. Control theory, transfer function modeling, Nyquist criteria, root locus, Bode plots, and Design of lead and lag compensation.",Completed
EEL 4140C,"EE, CpE",Undergraduate,EEL 3123C,"EEL 4140C ECS-EECS 4(3,3) Analog Filter Design: PR: EEL 3123C with a grade of “C” (2.0) or better. Passive and active analog filter design. M&S fee $15.00",Eligible
